UB366.A5 G7 1918,1918,enk,1,,101,enk,Europe,0
UB370 .G7 1919,1919,enk,1,,100,enk,Europe,0
UB373 .A43 1944,1944,dcu,1,,75,dcu,North America,0
UB373 .B27 1993,1993,dcu,0,,26,dcu,North America,0
UB415.P58 A3,,pl,1,,,pl,Europe,0
UB419.V4 M45 1984,1984,ve,1,,35,ve,South America,0
UB504 .V8 1930,1930,vau,1,,89,vau,North America,0
UB511 .A5 1908,1908,mx,1,,111,mx,North America,0
UB519 .G9 1907,1907,gt,1,,112,gt,Central America,0
UB524.H2 A34,,ht,1,,,ht,West Indies,0
UB555 .A2 1884,1884,ec,0,,135,ec,South America,0
UB795.R9 A48 1964,1964,ru,1,,55,ru,Europe,0
UB850 .U6 1943c,1944,dcu,1,,75,dcu,North America,0
UC197 .C66 1940z,1940,it,1,,79,it,Europe,0
UC263 .A5 1943eh,1943,xx,1,,76,xx,No place,0
UC265.M628 A75,1900,is,1,,119,is,Asia,0
UC345.R9 K65 1998,1998,ru,0,,21,ru,Europe,0
UC465.G7 G2,1900,enk,0,,119,enk,Europe,0
UC485.G7 R6,1960,enk,0,,59,enk,Europe,0
UD335.R9 S33,1963,xx,0,,56,xx,No place,1
UD443 .J8 1961,1961,pau,1,,58,pau,North America,0
"UF7 .U65 no. 20-110, etc.",1962,dcu,1,,57,dcu,North America,0
UF23 .S56,1941,dcu,1,,78,dcu,North America,0
UF234 .A5 15.pr.1909,1909,xx,0,,110,xx,No place,1
UF390 .U6 1943d,1943,ilu,0,,76,ilu,North America,1
UF525.G3 H34 1967,1967,gw,0,,52,gw,Europe,1
UF533.5 .D36 1977,1977,tnu,0,,42,tnu,North America,0
UF535.C2 A53 1967,1967,onc,1,,52,onc,North America,0
UF545.S9 Z48 1993,1993,sz,0,,26,sz,Europe,0
UF565 .G7 3 in. M.L.(0) 1919,1919,xx,1,,100,xx,No place,0
UF620.A2 U7 1964a,1964,dcu,1,,55,dcu,North America,0
UF767 .A43 1972,1972,xx,1,,47,xx,No place,0
UF767 .A5,1950,cau,1,,69,cau,North America,0
UF767 .P62,1975,nyu,1,,44,nyu,North America,0
UF800 .B8,1964,xr,0,,55,xr,Europe,1
UF800 .G75 1914,1915,enk,1,,104,enk,Europe,0
UF810 .F83,1841,xx,0,,178,xx,No place,0
UF848 .G65,1971,xx,1,,48,xx,No place,0
UF850.A2 G5,1876,xx,0,,143,xx,No place,0
UG23 .A64,1966,dcu,1,,53,dcu,North America,0
UG23 .U46b,1982,mou,1,,37,mou,North America,0
UG36 .P38 1980,1980,ag,1,,39,ag,South America,0
UG57 .T6,1969,enk,0,,50,enk,Europe,0
UG335 .R83 1942,1943,xx,1,,76,xx,No place,0
UG350 .G7 1945,1945,nyu,0,,74,nyu,North America,0
