"Call Number","PLACE_CODE","BEGIN_PUB_DATE","Brittle","Age","Region"
"F1435 .T497 1966","oku",1966,"0",55,"North America"
"F1435.1 .A4 S6 1972","mau",1972,"0",49,"North America"
"F1435.1 .C43 A73 1986","txu",1991,"0",30,"North America"
"F1435.1 C43 A73 1986","txu",1991,"0",30,"North America"
"F1435.1.A4 G72 1972","mau",1972,"0",49,"North America"
"F1435.1.B54 G83 2007","alu",2007,"0",14,"North America"
"F1435.1.C42 J69 1991","txu",1991,"0",30,"North America"
"F1435.1.C492 S74 2008","cau",2008,"0",13,"North America"
"F1435.1.C5 A78 1992","mau",1992,"0",29,"North America"
"F1435.1.C5 C46 1984","txu",1984,"0",37,"North America"
"F1435.1.C7 A26 1994","txu",1994,"0",27,"North America"
"F1435.1.C7 H46 2010","ncu",2010,"0",11,"North America"
"F1435.1.C7 N49 2001","txu",2001,"0",20,"North America"
"F1435.1.P38 N39 2002","mx",2002,"0",19,"North America"
"F1435.3 .A6 P69","nmu",1978,"0",43,"North America"
"F1435.3.C75 B87 2013","txu",2013,"0",8,"North America"
"F1435.3.E72 F57 2001","txu",2001,"0",20,"North America"
"F1435.3.K55 J33 2013","oku",2013,"0",8,"North America"
"F1435.3.K55 S34 1990","nyu",1990,"0",31,"North America"
"F1435.3.M32 H68 2014","ctu",2014,"0",7,"North America"
"F1435.3.P7 F64 2013","flu",2013,"0",8,"North America"
"F1435.3.R3 C27","mx",1964,"0",57,"North America"
"F1435.3.R3 F74 1993","nyu",1993,"0",28,"North America"
"F1435.3.W75 .S76 2011","nyu",2011,"0",10,"North America"
"F1435.3.W75 C64 1992","nyu",1992,"0",29,"North America"
"F1435.3.W75 C64 2001","enk",2001,"0",20,"Europe"
"F1435.S86 V6","oku",1947,"1",74,"North America"
"F1436.8.M6 B83 1996","alu",1996,"0",25,"North America"
"F1439.5 .C737 1988","cou",1988,"0",33,"North America"
"F1439.5 .L35 1988","mau",1988,"0",33,"North America"
"F1439.5 .T48 1985","nyu",1985,"0",36,"North America"
"F1443 .S47","cau",1975,"0",46,"North America"
"F1445 .M35 2002","flu",2002,"0",19,"North America"
"F1465.2 .I95 C64","mau",1981,"0",40,"North America"
"F1465.2.C3 C36 2006","nyu",2006,"0",15,"North America"
"F1465.2.C3 W37","txu",1978,"0",43,"North America"
"F1465.2.I87 J65 1998","cau",1998,"0",23,"North America"
"F1465.2.K5 W57 1995","oku",1995,"0",26,"North America"
"F1466.4 .L68 1985","onc",1985,"0",36,"North America"
"F1466.5 .H29 1994","ncu",1994,"0",27,"North America"
"F1466.5 .L68 2000","txu",2000,"0",21,"North America"
"F1466.5 .S34 1999","mau",1999,"0",22,"North America"
"F1466.5 .S56 1987","nyu",1987,"0",34,"North America"
"F1476.G92 A3","nyu",1937,"1",84,"North America"
"F1488 .G67 2000","cau",2000,"0",21,"North America"
"F1505.2.C3 G618 1979","gt",1979,"0",42,"Central America"
"F1505.2.C3 G63 1988","ilu",1988,"0",33,"North America"
"F1505.2.C3 J64 2007","cau",2007,"0",14,"North America"
"F1505.2.C3 K47 1983","ilu",1983,"0",38,"North America"
"F1506 .L376 1985","enk",1985,"0",36,"Europe"
"F1527 .C2813 1985","nyu",1985,"0",36,"North America"
"F1527 .W34 1993","ncu",1993,"0",28,"North America"
"F1528 .B74 1995","mau",1995,"0",26,"North America"
"F1528 .B7785 2001","oku",2001,"0",20,"North America"
"F1528 .C313 1985","nyu",1985,"0",36,"North America"
"F1528 .D413 1984","nq",1984,"1",37,"Central America"
"F1528 .N498 1982","nyu",1982,"0",39,"North America"
"F1537 .A1 E84 1987","sw",1987,"0",34,"Europe"
"F1544 .H35 1985","cou",1985,"0",36,"North America"
"F1545.1.S35 Q55 2004","iau",2004,"0",17,"North America"
"F1557.W48 H37 2001","quc",2001,"0",20,"North America"
"F1565.2.C8 H694 1998","dcu",1998,"0",23,"North America"
"F1565.2.C8 P3 1977","mau",1977,"0",44,"North America"
"F1565.2.G8 B6 1985","mau",1985,"0",36,"North America"
"F1566.5 .E2 1970","ctu",1970,"0",51,"North America"
"F1569 .C2 S74 1989","nyu",1989,"0",32,"North America"
"F1569.C2 G66 2009","nyu",2009,"0",12,"North America"
"F1569.C2 M157 2011","nju",2011,"0",10,"North America"
"F1619.2 .T3 S74 1988","nmu",1988,"0",33,"North America"
"F1619.3.G68 H85 1986","enk",1986,"0",35,"Europe"
"F1621 .D84 1987","enk",1987,"0",34,"Europe"
"F1621 .R72 1999","nyu",1999,"0",22,"North America"
"F1741 .F3","nju",1965,"0",56,"North America"
"F1760 .L5","sp",1971,"0",50,"Europe"
"F1760 .M3","ctu",1962,"0",59,"North America"
"F1760 .S27 1991","flu",1991,"0",30,"North America"
"F1765.3 .M55 1996","nyu",1996,"0",25,"North America"
"F1776 .R8","mau",1968,"0",53,"North America"
"F1776 .S93","nyu",1974,"0",47,"North America"
"F1776.3.S65 L67 2013","txu",2013,"0",8,"North America"
"F1783 .M38 M257","cu",1961,"1",60,"West Indies"
"F1783 .P25 1988","ctu",1988,"0",33,"North America"
